compound_chembl_id,canonical_smiles,proteinID,standard_type,standard_relation,standard_value,standard_units,pchembl_value
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,P15149,IC50,=,369.0,nM,6.43
CHEMBL328863,CC(=O)N1CCN(c2ccc(OC[C@@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,P15149,IC50,=,728.0,nM,6.14
CHEMBL319160,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,P15149,IC50,=,1080.0,nM,5.97
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,P15149,IC50,=,543.0,nM,6.26
CHEMBL313630,CCCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CCC)c(OC(=O)CCC)c2)cc1OC(=O)CCC,P16050,AC50,=,300.0,nM,6.52
CHEMBL315582,CC(C)CC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CC(C)C)c(OC(=O)CC(C)C)c2)cc1OC(=O)CC(C)C,P16050,AC50,=,200.0,nM,6.7
CHEMBL313613,CC(C)C(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)C(C)C)c(OC(=O)C(C)C)c2)cc1OC(=O)C(C)C,P16050,AC50,=,500.0,nM,6.3
CHEMBL316389,CCCCCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CCCCC)c(OC(=O)CCCCC)c2)cc1OC(=O)CCCCC,P16050,AC50,=,200.0,nM,6.7
CHEMBL329336,CCC(=O)Oc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(OC(=O)CC)c(OC(=O)CC)c2)cc1OC(=O)CC,P16050,AC50,=,300.0,nM,6.52
CHEMBL17815,CCCc1cc(Cl)c2oc(Cc3ccc(OC)cc3)c(C)c2c1O,P16050,IC50,=,40000.0,nM,4.4
CHEMBL92212,CCc1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1CC,P16050,IC50,=,160.0,nM,6.8
CHEMBL88952,C[C@H](Cc1ccc(O)c(O)c1)[C@@H](C)Cc1ccc2c(c1)OC(C)(C)O2,P16050,IC50,=,85.0,nM,7.07
CHEMBL92359,C[C@H](Cc1cc(O)c(O)cc1[N+](=O)[O-])[C@@H](C)Cc1cc(O)c(O)cc1[N+](=O)[O-],P16050,IC50,=,350.0,nM,6.46
CHEMBL89275,CC(=O)c1cc(O)c(O)cc1C[C@@H](C)[C@@H](C)Cc1cc(O)c(O)cc1C(C)=O,P16050,IC50,=,380.0,nM,6.42
CHEMBL89283,C[C@H](Cc1cc(O)c(O)cc1Br)[C@@H](C)Cc1cc(O)c(O)cc1Br,P16050,IC50,=,83.0,nM,7.08
CHEMBL316139,COc1cc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)ccc1O,P16050,IC50,=,250.0,nM,6.6
CHEMBL52,CC(Cc1ccc(O)c(O)c1)C(C)Cc1ccc(O)c(O)c1,P16050,IC50,=,110.0,nM,6.96
CHEMBL91531,COc1ccc(C[C@@H](C)[C@@H](C)Cc2ccc(O)c(O)c2)cc1OC,P16050,IC50,=,580.0,nM,6.24
CHEMBL314941,C[C@H](Cc1cc(O)c(O)cc1Cl)[C@@H](C)Cc1cc(O)c(O)cc1Cl,P16050,IC50,=,65.0,nM,7.19
CHEMBL81848,O=C(CCc1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,P16050,IC50,=,1450.0,nM,5.84
CHEMBL79402,O=C(Nc1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,P16050,IC50,=,1510.0,nM,5.82
CHEMBL79109,O=C(Nc1ccc(/N=C(\S)Nc2ccc(O)c(O)c2)cc1)c1ccccc1O,P16050,IC50,=,1950.0,nM,5.71
CHEMBL81583,O=C(CCc1cccc(NC(=O)c2ccccc2O)c1)Nc1ccc(O)c(O)c1,P16050,IC50,=,1670.0,nM,5.78
CHEMBL420775,O=C(/C=C/c1ccc(NC(=O)c2ccccc2O)cc1)Nc1ccc(O)c(O)c1,P16050,IC50,=,1470.0,nM,5.83
CHEMBL421710,O=C(Nc1ccc(O)c(O)c1)c1ccc(NC(=O)c2ccccc2O)cc1,P16050,IC50,=,1270.0,nM,5.9
CHEMBL79275,O=C(Nc1ccc(O)c(O)c1)c1ccc(NCc2ccccc2O)cc1,P16050,IC50,=,1010.0,nM,6.0
CHEMBL37141,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OC/C=C/c1ccccc1,Q8K4F2,IC50,=,3330.0,nM,5.48
CHEMBL417327,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCCCc1ccccc1,Q8K4F2,IC50,=,3590.0,nM,5.45
CHEMBL37081,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCc1cccs1,Q8K4F2,IC50,=,500.0,nM,6.3
CHEMBL38168,CCOC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Q8K4F2,IC50,=,330.0,nM,6.48
CHEMBL36649,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCCc1cccnc1,Q8K4F2,IC50,=,3930.0,nM,5.41
CHEMBL8260,O=c1cc(-c2ccccc2)oc2cc(O)c(O)c(O)c12,Q8K4F2,IC50,=,260.0,nM,6.58
CHEMBL37154,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCc1ccccc1,Q8K4F2,IC50,=,430.0,nM,6.37
CHEMBL35934,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCCc1ccccc1,Q8K4F2,IC50,=,1400.0,nM,5.85
CHEMBL37180,COc1ccccc1CCOC(=O)/C(C#N)=C/c1ccc(O)c(O)c1,Q8K4F2,IC50,=,1620.0,nM,5.79
CHEMBL7660,O=C1CCN(c2ccccc2)N1,P16050,IC50,=,2200.0,nM,5.66
CHEMBL157082,CCOC(=O)c1c2cccccc-2c2c(OCC)oc(=O)c(C#N)c12,P16050,IC50,=,24200.0,nM,4.62
CHEMBL7660,O=C1CCN(c2ccccc2)N1,P16050,IC50,=,420.0,nM,6.38
CHEMBL7660,O=C1CCN(c2ccccc2)N1,P16050,IC50,=,420.0,nM,6.38
CHEMBL514046,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]21CCC(=O)O1,P37059,IC50,=,270.0,nM,6.57
CHEMBL514046,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@]21CCC(=O)O1,P37059,Ki,=,250.0,nM,6.6
CHEMBL309703,Oc1c(F)c(F)c(/N=N/c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,P11715,IC50,=,30000.0,nM,4.52
CHEMBL79955,Oc1c(F)c(F)c(F)c(F)c1/N=N/c1c(F)c(F)c(F)c(F)c1F,P11715,IC50,=,63000.0,nM,4.2
CHEMBL78395,Fc1c(F)c(F)c2[nH]c3c(F)c(F)c(F)c(F)c3o[nH]c2c1F,P11715,IC50,=,50000.0,nM,4.3
CHEMBL157101,CC(=O)N1CCN(c2ccc(OCC3COC(Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,P11715,IC50,=,6000.0,nM,5.22
CHEMBL63053,C[C@]12CCC3C4=CCC(=O)C=C4CCC3C1CC[C@@]21CCC(=O)O1,P37059,IC50,=,1410.0,nM,5.85
CHEMBL1627453,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCI)[C@@H]2O,P14061,IC50,=,420.0,nM,6.38
CHEMBL1627450,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCBr)[C@@H]2O,P14061,IC50,=,460.0,nM,6.34
CHEMBL1627455,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCCl)[C@@H]2O,P14061,IC50,=,1000.0,nM,6.0
CHEMBL1627884,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCF)[C@@H]2O,P14061,IC50,=,4300.0,nM,5.37
CHEMBL1627451,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1C[C@@H](CCCSC#N)[C@@H]2O,P14061,IC50,=,1150.0,nM,5.94
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,P35439,IC50,=,18000.0,nM,4.75
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,Q00959,IC50,=,18000.0,nM,4.75
CHEMBL119778,Oc1ccc(CCNCCCCCc2ccccc2)cc1,P35439,IC50,=,12000.0,nM,4.92
CHEMBL119778,Oc1ccc(CCNCCCCCc2ccccc2)cc1,Q00959,IC50,=,12000.0,nM,4.92
CHEMBL327075,CCN(CCCCc1ccccc1)CCc1ccc(O)cc1,P35439,IC50,=,27000.0,nM,4.57
CHEMBL327075,CCN(CCCCc1ccccc1)CCc1ccc(O)cc1,Q00959,IC50,=,27000.0,nM,4.57
CHEMBL444851,C[C@H](CCc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,P35439,IC50,=,32000.0,nM,4.5
CHEMBL444851,C[C@H](CCc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,Q00959,IC50,=,32000.0,nM,4.5
CHEMBL280111,c1ccc(CCCCNCCc2ccccc2)cc1,P35439,IC50,=,46000.0,nM,4.34
CHEMBL280111,c1ccc(CCCCNCCc2ccccc2)cc1,Q00959,IC50,=,46000.0,nM,4.34
CHEMBL545284,Cl.Oc1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,P35439,IC50,=,57000.0,nM,4.24
CHEMBL545284,Cl.Oc1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,Q00959,IC50,=,57000.0,nM,4.24
CHEMBL118969,Oc1ccc(CCNCCCCc2ccccc2)cc1,P35439,IC50,=,15000.0,nM,4.82
CHEMBL118969,Oc1ccc(CCNCCCCc2ccccc2)cc1,Q00959,IC50,=,15000.0,nM,4.82
CHEMBL420530,Oc1ccc(CCNCCCCCCc2ccccc2)cc1,P35439,IC50,=,17000.0,nM,4.77
CHEMBL420530,Oc1ccc(CCNCCCCCCc2ccccc2)cc1,Q00959,IC50,=,17000.0,nM,4.77
CHEMBL333339,Oc1ccc(CCNCCCc2ccccc2)cc1,P35439,IC50,=,26000.0,nM,4.58
CHEMBL333339,Oc1ccc(CCNCCCc2ccccc2)cc1,Q00959,IC50,=,26000.0,nM,4.58
CHEMBL334003,Oc1ccc(CCCNCCCCCc2ccccc2)cc1,P35439,IC50,=,18000.0,nM,4.75
CHEMBL334003,Oc1ccc(CCCNCCCCCc2ccccc2)cc1,Q00959,IC50,=,18000.0,nM,4.75
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,P35439,IC50,=,15.0,nM,7.82
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,Q00960,IC50,=,15.0,nM,7.82
CHEMBL119778,Oc1ccc(CCNCCCCCc2ccccc2)cc1,P35439,IC50,=,8.0,nM,8.1
CHEMBL119778,Oc1ccc(CCNCCCCCc2ccccc2)cc1,Q00960,IC50,=,8.0,nM,8.1
CHEMBL553596,Cl.c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,P35439,IC50,=,1100.0,nM,5.96
CHEMBL553596,Cl.c1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,Q00960,IC50,=,1100.0,nM,5.96
CHEMBL327075,CCN(CCCCc1ccccc1)CCc1ccc(O)cc1,P35439,IC50,=,300.0,nM,6.52
CHEMBL327075,CCN(CCCCc1ccccc1)CCc1ccc(O)cc1,Q00960,IC50,=,300.0,nM,6.52
CHEMBL283775,c1ccc(CCCNCCc2ccccc2)cc1,P35439,IC50,=,7300.0,nM,5.14
CHEMBL283775,c1ccc(CCCNCCc2ccccc2)cc1,Q00960,IC50,=,7300.0,nM,5.14
CHEMBL444851,C[C@H](CCc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,P35439,IC50,=,180.0,nM,6.75
CHEMBL444851,C[C@H](CCc1ccccc1)N[C@H](C)[C@@H](O)c1ccc(O)cc1,Q00960,IC50,=,180.0,nM,6.75
CHEMBL280111,c1ccc(CCCCNCCc2ccccc2)cc1,P35439,IC50,=,3500.0,nM,5.46
CHEMBL280111,c1ccc(CCCCNCCc2ccccc2)cc1,Q00960,IC50,=,3500.0,nM,5.46
CHEMBL545284,Cl.Oc1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,P35439,IC50,=,200.0,nM,6.7
CHEMBL545284,Cl.Oc1ccc(CCN2CCC(Cc3ccccc3)CC2)cc1,Q00960,IC50,=,200.0,nM,6.7
CHEMBL118969,Oc1ccc(CCNCCCCc2ccccc2)cc1,P35439,IC50,=,43.0,nM,7.37
CHEMBL118969,Oc1ccc(CCNCCCCc2ccccc2)cc1,Q00960,IC50,=,43.0,nM,7.37
CHEMBL119100,Oc1ccc(CCOCCCCc2ccccc2)cc1,P35439,IC50,=,3700.0,nM,5.43
CHEMBL119100,Oc1ccc(CCOCCCCc2ccccc2)cc1,Q00960,IC50,=,3700.0,nM,5.43
CHEMBL420530,Oc1ccc(CCNCCCCCCc2ccccc2)cc1,P35439,IC50,=,35.0,nM,7.46
CHEMBL420530,Oc1ccc(CCNCCCCCCc2ccccc2)cc1,Q00960,IC50,=,35.0,nM,7.46
CHEMBL333339,Oc1ccc(CCNCCCc2ccccc2)cc1,P35439,IC50,=,96.0,nM,7.02
CHEMBL333339,Oc1ccc(CCNCCCc2ccccc2)cc1,Q00960,IC50,=,96.0,nM,7.02
CHEMBL334003,Oc1ccc(CCCNCCCCCc2ccccc2)cc1,P35439,IC50,=,45.0,nM,7.35
CHEMBL334003,Oc1ccc(CCCNCCCCCc2ccccc2)cc1,Q00960,IC50,=,45.0,nM,7.35
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,P35439,IC50,=,48000.0,nM,4.32
CHEMBL42414,Oc1ccc(CCCNCCCCc2ccccc2)cc1,Q00961,IC50,=,48000.0,nM,4.32
CHEMBL119778,Oc1ccc(CCNCCCCCc2ccccc2)cc1,P35439,IC50,=,39000.0,nM,4.41
